menu,api_name,api_id,method,url,tr_real,tr_mock
[국내주식] ELW 시세,ELW LP매매추이,국내주식-182,GET,/uapi/elw/v1/quotations/lp-trade-trend,FHPEW03760000,
[국내주식] ELW 시세,ELW 거래량순위,국내주식-168,GET,/uapi/elw/v1/ranking/volume-rank,FHPEW02780000,모의투자 미지원
[국내주식] ELW 시세,ELW 기초자산 목록조회,국내주식-185,GET,/uapi/elw/v1/quotations/udrl-asset-list,FHKEW154100C0,모의투자 미지원
[국내주식] ELW 시세,ELW 기초자산별 종목시세,국내주식-186,GET,/uapi/elw/v1/quotations/udrl-asset-price,FHKEW154101C0,모의투자 미지원
[국내주식] ELW 시세,ELW 당일급변종목,국내주식-171,GET,/uapi/elw/v1/ranking/quick-change,FHPEW02870000,모의투자 미지원
[국내주식] ELW 시세,ELW 만기예정/만기종목,국내주식-184,GET,/uapi/elw/v1/quotations/expiration-stocks,FHKEW154700C0,모의투자 미지원
[국내주식] ELW 시세,ELW 민감도 순위,국내주식-170,GET,/uapi/elw/v1/ranking/sensitivity,FHPEW02850000,모의투자 미지원
[국내주식] ELW 시세,ELW 민감도 추이(일별),국내주식-176,GET,/uapi/elw/v1/quotations/sensitivity-trend-daily,FHPEW02830200,모의투자 미지원
[국내주식] ELW 시세,ELW 민감도 추이(체결),국내주식-175,GET,/uapi/elw/v1/quotations/sensitivity-trend-ccnl,FHPEW02830100,모의투자 미지원
[국내주식] ELW 시세,ELW 변동성 추이(분별),국내주식-179,GET,/uapi/elw/v1/quotations/volatility-trend-minute,FHPEW02840300,모의투자 미지원
[국내주식] ELW 시세,ELW 변동성 추이(일별),국내주식-178,GET,/uapi/elw/v1/quotations/volatility-trend-daily,FHPEW02840200,모의투자 미지원
[국내주식] ELW 시세,ELW 변동성 추이(틱),국내주식-180,GET,/uapi/elw/v1/quotations/volatility-trend-tick,FHPEW02840400,모의투자 미지원
[국내주식] ELW 시세,ELW 변동성추이(체결),국내주식-177,GET,/uapi/elw/v1/quotations/volatility-trend-ccnl,FHPEW02840100,모의투자 미지원
[국내주식] ELW 시세,ELW 비교대상종목조회,국내주식-183,GET,/uapi/elw/v1/quotations/compare-stocks,FHKEW151701C0,모의투자 미지원
[국내주식] ELW 시세,ELW 상승률순위,국내주식-167,GET,/uapi/elw/v1/ranking/updown-rate,FHPEW02770000,모의투자 미지원
[국내주식] ELW 시세,ELW 신규상장종목,국내주식-181,GET,/uapi/elw/v1/quotations/newly-listed,FHKEW154800C0,모의투자 미지원
[국내주식] ELW 시세,ELW 종목검색,국내주식-166,GET,/uapi/elw/v1/quotations/cond-search,FHKEW15100000,모의투자 미지원
[국내주식] ELW 시세,ELW 지표순위,국내주식-169,GET,/uapi/elw/v1/ranking/indicator,FHPEW02790000,모의투자 미지원
[국내주식] ELW 시세,ELW 투자지표추이(분별),국내주식-174,GET,/uapi/elw/v1/quotations/indicator-trend-minute,FHPEW02740300,모의투자 미지원
[국내주식] ELW 시세,ELW 투자지표추이(일별),국내주식-173,GET,/uapi/elw/v1/quotations/indicator-trend-daily,FHPEW02740200,모의투자 미지원
[국내주식] ELW 시세,ELW 투자지표추이(체결),국내주식-172,GET,/uapi/elw/v1/quotations/indicator-trend-ccnl,FHPEW02740100,모의투자 미지원
[국내주식] ELW 시세,ELW 현재가 시세,v1_국내주식-014,GET,/uapi/domestic-stock/v1/quotations/inquire-elw-price,FHKEW15010000,FHKEW15010000
[국내주식] 기본시세,ETF 구성종목시세,국내주식-073,GET,/uapi/etfetn/v1/quotations/inquire-component-stock-price,FHKST121600C0,모의투자 미지원
[국내주식] 기본시세,ETF/ETN 현재가,v1_국내주식-068,GET,/uapi/etfetn/v1/quotations/inquire-price,FHPST02400000,모의투자 미지원
[국내주식] 기본시세,NAV 비교추이(분),v1_국내주식-070,GET,/uapi/etfetn/v1/quotations/nav-comparison-time-trend,FHPST02440100,모의투자 미지원
