seq,menu,api_name,api_id,method,url,fit_type,mock_supported,tr_real,tr_mock
28,[국내주식] 기본시세,주식현재가 일자별,v1_국내주식-010,GET,/uapi/domestic-stock/v1/quotations/inquire-daily-price,symbol_snapshot,Y,FHKST01010400,FHKST01010400
29,[국내주식] 기본시세,주식현재가 시세,v1_국내주식-008,GET,/uapi/domestic-stock/v1/quotations/inquire-price,symbol_snapshot,Y,FHKST01010100,FHKST01010100
30,[국내주식] 기본시세,국내주식 시간외현재가,국내주식-076,GET,/uapi/domestic-stock/v1/quotations/inquire-overtime-price,symbol_snapshot,N,FHPST02300000,모의투자 미지원
31,[국내주식] 기본시세,ETF 구성종목시세,국내주식-073,GET,/uapi/etfetn/v1/quotations/inquire-component-stock-price,other_query,N,FHKST121600C0,모의투자 미지원
32,[국내주식] 기본시세,주식현재가 시간외시간별체결,v1_국내주식-025,GET,/uapi/domestic-stock/v1/quotations/inquire-time-overtimeconclusion,symbol_snapshot,Y,FHPST02310000,FHPST02310000
33,[국내주식] 기본시세,NAV 비교추이(종목),v1_국내주식-069,GET,/uapi/etfetn/v1/quotations/nav-comparison-trend,other_query,N,FHPST02440000,모의투자 미지원
34,[국내주식] 기본시세,주식현재가 시간외일자별주가,v1_국내주식-026,GET,/uapi/domestic-stock/v1/quotations/inquire-daily-overtimeprice,symbol_snapshot,Y,FHPST02320000,FHPST02320000
35,[국내주식] 기본시세,국내주식 시간외호가,국내주식-077,GET,/uapi/domestic-stock/v1/quotations/inquire-overtime-asking-price,symbol_snapshot,N,FHPST02300400,모의투자 미지원
36,[국내주식] 기본시세,주식현재가 당일시간대별체결,v1_국내주식-023,GET,/uapi/domestic-stock/v1/quotations/inquire-time-itemconclusion,symbol_snapshot,Y,FHPST01060000,FHPST01060000
37,[국내주식] 기본시세,주식현재가 시세2,v1_국내주식-054,GET,/uapi/domestic-stock/v1/quotations/inquire-price-2,symbol_snapshot,N,FHPST01010000,모의투자 미지원
38,[국내주식] 기본시세,주식일별분봉조회,국내주식-213,GET,/uapi/domestic-stock/v1/quotations/inquire-time-dailychartprice,time_series_calc,N,FHKST03010230,모의투자 미지원
39,[국내주식] 기본시세,국내주식기간별시세(일/주/월/년),v1_국내주식-016,GET,/uapi/domestic-stock/v1/quotations/inquire-daily-itemchartprice,time_series_calc,Y,FHKST03010100,FHKST03010100
40,[국내주식] 기본시세,NAV 비교추이(일),v1_국내주식-071,GET,/uapi/etfetn/v1/quotations/nav-comparison-daily-trend,other_query,N,FHPST02440200,모의투자 미지원
41,[국내주식] 기본시세,주식현재가 호가/예상체결,v1_국내주식-011,GET,/uapi/domestic-stock/v1/quotations/inquire-asking-price-exp-ccn,symbol_snapshot,Y,FHKST01010200,FHKST01010200
42,[국내주식] 기본시세,주식현재가 체결,v1_국내주식-009,GET,/uapi/domestic-stock/v1/quotations/inquire-ccnl,symbol_snapshot,Y,FHKST01010300,FHKST01010300
43,[국내주식] 기본시세,주식현재가 회원사,v1_국내주식-013,GET,/uapi/domestic-stock/v1/quotations/inquire-member,symbol_snapshot,Y,FHKST01010600,FHKST01010600
44,[국내주식] 기본시세,NAV 비교추이(분),v1_국내주식-070,GET,/uapi/etfetn/v1/quotations/nav-comparison-time-trend,other_query,N,FHPST02440100,모의투자 미지원
45,[국내주식] 기본시세,주식현재가 투자자,v1_국내주식-012,GET,/uapi/domestic-stock/v1/quotations/inquire-investor,factor_bulk_or_symbol,Y,FHKST01010900,FHKST01010900
46,[국내주식] 기본시세,ETF/ETN 현재가,v1_국내주식-068,GET,/uapi/etfetn/v1/quotations/inquire-price,symbol_snapshot,N,FHPST02400000,모의투자 미지원
47,[국내주식] 기본시세,국내주식 장마감 예상체결가,국내주식-120,GET,/uapi/domestic-stock/v1/quotations/exp-closing-price,symbol_snapshot,N,FHKST117300C0,모의투자 미지원
48,[국내주식] 기본시세,주식당일분봉조회,v1_국내주식-022,GET,/uapi/domestic-stock/v1/quotations/inquire-time-itemchartprice,time_series_calc,Y,FHKST03010200,FHKST03010200
71,[국내주식] 업종/기타,국내주식 예상체결지수 추이,국내주식-121,GET,/uapi/domestic-stock/v1/quotations/exp-index-trend,symbol_snapshot,N,FHPST01840000,모의투자 미지원
72,[국내주식] 업종/기타,국내주식업종기간별시세(일/주/월/년),v1_국내주식-021,GET,/uapi/domestic-stock/v1/quotations/inquire-daily-indexchartprice,time_series_calc,Y,FHKUP03500100,FHKUP03500100
73,[국내주식] 업종/기타,국내업종 시간별지수(분),국내주식-119,GET,/uapi/domestic-stock/v1/quotations/inquire-index-timeprice,other_query,N,FHPUP02110200,모의투자 미지원
74,[국내주식] 업종/기타,국내업종 구분별전체시세,v1_국내주식-066,GET,/uapi/domestic-stock/v1/quotations/inquire-index-category-price,other_query,N,FHPUP02140000,모의투자 미지원
75,[국내주식] 업종/기타,업종 분봉조회,v1_국내주식-045,GET,/uapi/domestic-stock/v1/quotations/inquire-time-indexchartprice,time_series_calc,N,FHKUP03500200,모의투자 미지원
76,[국내주식] 업종/기타,국내휴장일조회,국내주식-040,GET,/uapi/domestic-stock/v1/quotations/chk-holiday,other_query,N,CTCA0903R,모의투자 미지원
77,[국내주식] 업종/기타,국내주식 예상체결 전체지수,국내주식-122,GET,/uapi/domestic-stock/v1/quotations/exp-total-index,symbol_snapshot,N,FHKUP11750000,모의투자 미지원
78,[국내주식] 업종/기타,국내업종 현재지수,v1_국내주식-063,GET,/uapi/domestic-stock/v1/quotations/inquire-index-price,other_query,N,FHPUP02100000,모의투자 미지원
79,[국내주식] 업종/기타,국내선물 영업일조회,국내주식-160,GET,/uapi/domestic-stock/v1/quotations/market-time,other_query,N,HHMCM000002C0,모의투자 미지원
80,[국내주식] 업종/기타,국내업종 시간별지수(초),국내주식-064,GET,/uapi/domestic-stock/v1/quotations/inquire-index-tickprice,other_query,N,FHPUP02110100,모의투자 미지원
81,[국내주식] 업종/기타,국내업종 일자별지수,v1_국내주식-065,GET,/uapi/domestic-stock/v1/quotations/inquire-index-daily-price,other_query,N,FHPUP02120000,모의투자 미지원
82,[국내주식] 업종/기타,금리 종합(국내채권/금리),국내주식-155,GET,/uapi/domestic-stock/v1/quotations/comp-interest,other_query,N,FHPST07020000,모의투자 미지원
83,[국내주식] 업종/기타,변동성완화장치(VI) 현황,v1_국내주식-055,GET,/uapi/domestic-stock/v1/quotations/inquire-vi-status,other_query,N,FHPST01390000,모의투자 미지원
84,[국내주식] 업종/기타,종합 시황/공시(제목),국내주식-141,GET,/uapi/domestic-stock/v1/quotations/news-title,other_query,N,FHKST01011800,모의투자 미지원
